Module,Controller,HTTP Method,Endpoint,Description,Authentication Required,Authorization Level,Request Body Type,Response Type
Authentication,AuthController,POST,/api/auth/login,User login authentication,No,Public,JSON (LoginDto),JSON (AuthResponse)
Registration,RegistrationController,POST,/api/register,Register new customer,No,Public,JSON (RegistrationRequest),JSON (Customer details)
Registration,RegistrationController,POST,/api/register/verify-otp,Verify OTP for registration,No,Public,Query Parameters (email & otp),JSON (verification status)
Registration,RegistrationController,POST,/api/register/{customerId}/documents,Upload customer documents during registration,No,Public,Multipart Form Data (file & docType),JSON (document details)
Bank Accounts,BankAccountController,POST,/api/accounts,Create new bank account,Yes,ROLE_CUSTOMER,JSON (CreateAccountDto),JSON (BankAccountDto)
Bank Accounts,BankAccountController,GET,/api/accounts,Get user's bank accounts,Yes,ROLE_CUSTOMER,None,JSON (List<BankAccountDto>)
Transactions,TransactionController,POST,/api/transactions/deposit,Deposit money to account,Yes,ROLE_CUSTOMER,JSON (DepositDto),JSON (TransactionDto)
Transactions,TransactionController,POST,/api/transactions/withdraw,Withdraw money from account,Yes,ROLE_CUSTOMER,JSON (WithdrawalDto),JSON (TransactionDto)
Transactions,TransactionController,POST,/api/transactions/transfer,Transfer money between accounts,Yes,ROLE_CUSTOMER,JSON (TransferDto),JSON (TransactionDto)
Transactions,TransactionController,GET,/api/transactions/history,Get user's transaction history,Yes,ROLE_CUSTOMER,None,JSON (List<TransactionDto>)
Transactions,TransactionController,GET,/api/transactions/history/{accountNumber},Get specific account transaction history,Yes,ROLE_CUSTOMER,None,JSON (List<TransactionDto>)
Transactions,TransactionController,GET,/api/transactions/balance/{accountNumber},Get account balance,Yes,ROLE_CUSTOMER,None,JSON (BalanceDto)
Transactions,TransactionController,GET,/api/transactions/status/{transactionId},Get transaction status,Yes,ROLE_CUSTOMER,None,JSON (TransactionDto)
Customer,CustomerController,GET,/api/customer/profile,Get customer profile,Yes,ROLE_ADMIN or ROLE_CUSTOMER,None,JSON (Customer)
Customer,CustomerController,GET,/api/customer/kyc-status,Get KYC status,Yes,ROLE_ADMIN or ROLE_CUSTOMER,None,JSON (KycStatusResponse)
Customer Alerts,CustomerAlertController,GET,/api/customer/alerts,Get customer's alerts,Yes,ROLE_CUSTOMER,None,JSON (List<AlertDto>)
Customer Alerts,CustomerAlertController,GET,/api/customer/alerts/{alertId},Get specific alert details,Yes,ROLE_CUSTOMER,None,JSON (AlertDto)
Customer Alerts,CustomerAlertController,GET,/api/customer/alerts/transaction/{transactionId},Get alerts for specific transaction,Yes,ROLE_CUSTOMER,None,JSON (List<AlertDto>)
Documents,DocumentController,POST,/api/documents/upload,Upload customer documents,Yes,Authenticated User,Multipart Form Data (file & docType),JSON (document details)
Compliance,ComplianceController,GET,/api/compliance/alerts,Get all open alerts,Yes,OFFICER or ADMIN or ROLE_OFFICER,None,JSON (List<AlertDto>)
Compliance,ComplianceController,GET,/api/compliance/alerts/{id},Get alert by ID,Yes,OFFICER or ADMIN or ROLE_OFFICER,None,JSON (AlertDto)
Compliance,ComplianceController,POST,/api/compliance/alerts/{id}/case,Create case from alert,Yes,OFFICER or ADMIN or ROLE_OFFICER,None,JSON (CaseDto)
Compliance,ComplianceController,POST,/api/compliance/cases/{id}/notes,Add note to case,Yes,OFFICER or ADMIN or ROLE_OFFICER,JSON (NoteDto),JSON (CaseDto)
Compliance - Transaction Management,ComplianceController,POST,/api/compliance/transactions/{transactionId}/approve,Approve flagged or blocked transaction,Yes,OFFICER or ADMIN or ROLE_OFFICER,None,JSON (TransactionDto)
Compliance - Transaction Management,ComplianceController,POST,/api/compliance/transactions/{transactionId}/reject,Reject flagged or blocked transaction,Yes,OFFICER or ADMIN or ROLE_OFFICER,Query Parameter (reason),JSON (TransactionDto)
Compliance - Transaction Management,ComplianceController,GET,/api/compliance/transactions/flagged,Get all flagged transactions awaiting review,Yes,OFFICER or ADMIN or ROLE_OFFICER,None,JSON (List<TransactionDto>)
Compliance - Transaction Management,ComplianceController,GET,/api/compliance/transactions/blocked,Get all blocked transactions for review,Yes,OFFICER or ADMIN or ROLE_OFFICER,None,JSON (List<TransactionDto>)
Compliance - Transaction Management,ComplianceController,GET,/api/compliance/transactions/review,Get all transactions requiring review (flagged + blocked),Yes,OFFICER or ADMIN or ROLE_OFFICER,None,JSON (List<TransactionDto>)
Compliance - Transaction Management,ComplianceController,GET,/api/compliance/transactions/{transactionId},Get transaction details for compliance review,Yes,OFFICER or ADMIN or ROLE_OFFICER,None,JSON (TransactionDto)
Compliance - Case Management,ComplianceController,GET,/api/compliance/cases/under-investigation,Get all cases under investigation,Yes,OFFICER or ADMIN or ROLE_OFFICER,None,JSON (List<CaseDto>)
Compliance - Case Management,ComplianceController,GET,/api/compliance/cases/resolved,Get all resolved cases,Yes,OFFICER or ADMIN or ROLE_OFFICER,None,JSON (List<CaseDto>)
